,corr,pval,vel,corr_ex,pval_ex,spd_ex
0,-0.0621675150691312,0.375243689992498,0.334538809123575,-0.194497847579323,0.0222554459173911,2.56409034594492
1,-0.424498769211498,1.37696832009228E-07,3.88391974698557,-0.445712543731169,2.23494927424935E-06,6.04960696501832
2,-0.427708742104024,1.40902476231364E-10,8.36246527852544,-0.570088868348747,5.60705548096279E-11,15.3611216911065
3,-0.442548327640869,1.07702569481655E-11,8.73596512795296,-0.535702585452732,5.41673470811825E-12,17.9886872401663
4,-0.48075971501036,3.62003486928852E-20,5.8553481232798,-0.598321544660371,5.83590046985777E-21,7.53430476833371
5,-0.455204305689809,4.39881142541389E-08,8.2183908045977,-0.39925560024243,0.000247207082716966,9.67284338358459
6,-0.0425927679486602,0.64049830215791,1.14661409111647,-0.138659271702703,0.35551448668884,4.43149550402272
7,-0.435645104486435,3.0401967875005E-10,4.03275383395029,-0.46519001655221,3.90357642828841E-09,4.52542570187622
8,-0.29392217691346,1.3773144503057E-06,4.48476037993459,-0.358219372827786,1.29298689583811E-06,8.66006787330317
9,-0.310683141003077,1.37443687717814E-06,6.77314547718094,-0.305303765562258,0.000173821041453742,8.72542075140251
10,-0.219581622438457,0.00556150041239168,1.67010134392219,-0.326670693238532,0.00763414399177856,2.48463687150838
11,-0.270028537920796,8.06791575244503E-06,4.83797991888946,-0.224750728636701,0.00145668885927777,4.8098097773161
12,-0.197187677227656,0.0066912159588286,2.91717235227887,-0.317770191569853,0.000535195855479223,7.48171256454389
13,-0.0470246273769832,0.58951741733853,2.95814139795714,0.0804973330477643,0.444323485605535,1.67598389982111
14,-0.101162829777814,0.38748343298274,2.50975609756098,-0.101065252239713,0.428293757843252,2.98455978975032
15,-0.435979381761734,5.21358042262822E-07,7.15912759260755,-0.445544699620414,5.63250173180379E-06,6.99342105263158
